"","kab.x","kab_code","health_prop","Kesehatan","prop_women","num_vil","pop_urb","pop","schools","pre_male_doc","pre_fem_doc","mosques","pubs","dist_to_cap","polindes","some_gambling","civil_def","kab.y","health_prop_2008","prov"
"1","ACEH BARAT","1107","0.125538156873685","107173180378.2",NA,"320","13","182627","158","26","15","282","0","32.409375","30","0","143","ACEH BARAT","0.114092105279362","11"
"2","ACEH BESAR","1108","0.10138888039256","119232132000",NA,"604","36","339522","243","39","56","141","0","48.112582781457","271","1","1866","ACEH BESAR","0.120938518077268","11"
"3","ACEH SELATAN","1103","0.116837309022179","113871633528",NA,"248","18","210111","220","17","10","247","0","45.1774193548387","123","0","1669","ACEH SELATAN","0.105659305934013","11"
"4","ACEH SINGKIL","1102","0.106986852557313","67705586429",NA,"117","12","104469","90","9","14","130","0","46.5726495726496","17","0","563","ACEH SINGKIL","0.098215182186965","11"
"5","ACEH TENGAH","1106","0.119828232914879","120967280589",NA,"271","24","186110","187","25","17","235","0","25.3468634686347","130","0","1811","ACEH TENGAH","0.110673535149893","11"
"6","ACEH TENGGARA","1104","0.120076166499403","103945248686.36","0.2","385","10","210457","171","30","14","215","0","15.7090909090909","81","7","1074","ACEH TENGGARA","0.0872730433198235","11"
"7","ACEH TIMUR","1105","0.11438362315079","149343199311.75",NA,"512","20","384716","287","15","9","319","0","33.666015625","178","1","917","ACEH TIMUR","0.0859537130256613","11"
"8","ACEH UTARA","1111","0.120869669348709","212050348473",NA,"852","36","551139","370","42","33","279","0","29.5692488262911","236","2","2749","ACEH UTARA","0.0705008942211327","11"
"9","BIREUEN","1110","0.146066541960823","184149178942","0.2","608","33","406593","308","70","32","178","0","20.7894736842105","172","3","1498","BIREUEN","0.0980822722096974","11"
"10","PIDIE","1109","0.167977613198814","210021499389","0.111111111111111","731","47","396500","331","39","36","180","0","16.484268125855","124","0","543",NA,NA,"11"
"11","SIMEULEU",NA,"0.110561766932949","66432676152","NaN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","KOTA BANDA ACEH","1171","0.111129409735892","123766566084","0","90","90","214707","93","96","92","97","0","3.34444444444444","35","0","897","KOTA BANDA ACEH","0.0691537104276072","11"
"13","KOTA SABANG","1172","0.102534250411327","58218482833","0.181818181818182","18","6","32649","30","10","7","19","0","9.72222222222222","4","0","0","KOTA SABANG","0.140588922834233","11"
"14","KOTA LANGSA","1173","0.188967128137163","135888132827","0.333333333333333","51","24","145878","67","30","19","58","0","4.64705882352941","44","2","569","KOTA LANGSA","0.119745750900721","11"
"15","KOTA LHOKSEUMAWE","1174","0.0667252410426541","52010510095","0.230769230769231","68","32","161943","66","69","48","43","0","7.01470588235294","17","1","440","KOTA LHOKSEUMAWE","0.0955818924571873","11"
"16","GAYO LUES","1113","0.0990255330128447","69474086814",NA,"144","4","78125","94","16","9","124","0","25.5694444444444","34","1","732","GAYO LUES","0.094188213379301","11"
"17","ACEH BARAT DAYA","1112","0.117673125494229","91454497063",NA,"132","12","125708","119","17","11","150","0","12.6136363636364","75","0","828","ACEH BARAT DAYA","0.0922126788620834","11"
