,kab,kab_code,center,established_year
3,ACEH TENGGARA,1104,1,2006
8,ACEH TAMIANG,1114,1,2007
10,NAGAN RAYA,1115,0,
12,KOTA BANDA ACEH,1171,1,2007
16,KOTA LHOKSEUMAWE,1174,1,2007
21,MANDAILING NATAL,1202,0,
27,ASAHAN,1208,1,2007
28,DELI SERDANG,1212,1,2009
29,LANGKAT,1213,0,
33,SERDANG BEDAGAI,1218,0,
37,KOTA MEDAN,1275,1,2012
46,KOTA PADANG,1371,0,
49,KOTA PAYAKUMBUH,1376,0,
51,KUANTAN SINGINGI,1401,0,
53,BENGKALIS,1408,1,2011
54,KOTA PEKANBARU,1471,1,2007
56,KERINCI,1501,1,2010
59,OGAN KOMERING ILIR,1602,1,
61,BANYUASIN,1607,0,
62,OGAN KOMERING ULU TIMUR,1609,0,
63,EMPAT LAWANG,1611,0,
65,KOTA PALEMBANG,1671,0,
67,LAMPUNG BARAT,1801,0,
68,LAMPUNG SELATAN,1803,1,2006
69,LAMPUNG TIMUR,1804,1,2007
70,LAMPUNG UTARA,1806,0,
74,KOTA METRO,1872,1,
76,BINTAN,2102,0,
77,KOTA BATAM,2171,1,2004
80,BOGOR,3201,1,2008
81,SUKABUMI,3202,1,2007
83,GARUT,3205,0,
84,TASIKMALAYA,3206,0,
91,PURWAKARTA,3214,1,2008
93,KARAWANG,3215,0,
94,BEKASI,3216,0,
100,KOTA BANDUNG,3273,1,2002
102,KOTA BEKASI,3275,0,
108,BANYUMAS,3302,1,2006
109,BANJAR NEGARA,3304,0,
113,PURWOREJO,3306,1,2009
117,MAGELANG,3308,0,
119,KLATEN,3310,1,2009
123,KARANGANYAR,3313,0,
125,GROBOGAN,3315,0,
129,BLORA,3316,0,
133,KUDUS,3319,0,
135,DEMAK,3321,0,
137,SEMARANG,3322,0,
141,BATANG,3325,1,2007
145,PEMALANG,3327,0,
155,KOTA PEKALONGAN,3375,0,
160,KULON PROGO,3401,0,
162,GUNUNG KIDUL,3403,0,
163,SLEMAN,3404,1,2006
164,KOTA YOGYAKARTA,3471,0,
166,PONOROGO,3502,0,
167,KEDIRI,3506,0,
169,MALANG,3507,0,
173,LUMAJANG,3508,0,
174,JEMBER,3509,0,
177,BANYUWANGI,3510,0,
180,PROBOLINGGO,3513,0,
181,PASURUAN,3514,0,
186,MOJOKERTO,3516,0,
190,JOMBANG,3517,0,
191,NGANJUK,3518,0,
195,BOJONEGORO,3522,0,
198,PAMEKASAN,3528,1,2007
202,KOTA MALANG,3573,0,
204,KOTA SURABAYA,3578,1,2007
207,TABANAN,5102,0,
208,BANGLI,5106,0,
209,BULELENG,5108,1,2007
211,LOMBOK TENGAH,5202,1,2007
214,SUMBAWA BARAT,5207,0,
215,SUMBA TIMUR,5302,1,2007
217,TIMOR TENGAH SELATAN,5304,1,2009
218,TIMOR TENGAH UTARA,5305,0,
219,BELU,5306,0,
226,ROTE NDAO,5314,0,
228,MANGGARAI TIMUR,5319,0,
229,KOTA KUPANG,5371,1,2007
230,SAMBAS,6101,1,2009
233,SANGGAU,6105,0,
235,SINTANG,6107,0,
236,KAPUAS HULU,6108,0,
237,KUBU RAYA,6112,0,
238,KOTA PONTIANAK,6171,1,2007
240,KAPUAS,6203,1,2008
243,KATINGAN,6209,0,
244,GUNUNG MAS,6211,0,
245,TAPIN,6305,0,
247,HULU SUNGAI SELATAN,6306,0,
248,HULU SUNGAI TENGAH,6307,0,
249,BALANGAN,6311,0,
251,KOTA BANJARMASIN,6371,1,2009
258,KOTA BALIKPAPAN,6471,0,
263,KEPULAUAN SANGIHE,7103,0,
267,KOTA MANADO,7171,1,2009
270,KOTA BITUNG,7172,0,
272,BANGGAI KEPULAUAN,7201,0,
273,TOLI TOLI,7206,0,
274,KOTA PALU,7271,1,2006
275,GOWA,7306,1,2007
279,WAJO,7313,0,
282,KOTA MAKASSAR,7371,1,2009
284,GORONTALO,7502,0,
287,TELUK BINTUNI,9104,0,
