,num,prov,dapil_code,dapil,woman_win,party,order,total_seats,gender,name
181,1295,NANGGROE ACEH DARUSSALAM,11043,ACEH TENGGARA 3,0,PARTAI DEMOKRASI PEMBARUAN,I,1,1,AGUSTAMIN SIANTURI
678,1293,NANGGROE ACEH DARUSSALAM,11043,ACEH TENGGARA 3,0,PARTAI KEADILAN SEJAHTERA,I,1,1,RAHMAT HIDAYAT
964,1294,NANGGROE ACEH DARUSSALAM,11043,ACEH TENGGARA 3,0,PARTAI KEADILAN DAN PERSATUAN INDONESIA,I,1,1,GABE MARTUA TAMBUNAN
1618,1292,NANGGROE ACEH DARUSSALAM,11043,ACEH TENGGARA 3,0,PARTAI NASIONAL INDONESIA MARHAENISME,I,1,1,ROY DARWAN
49,1296,NANGGROE ACEH DARUSSALAM,11044,ACEH TENGGARA 4,1,PARTAI GERAKAN INDONESIA RAYA,I,1,0,"ERDARINA PELIS, SP"
54,1300,NANGGROE ACEH DARUSSALAM,11044,ACEH TENGGARA 4,1,PARTAI GOLONGAN KARYA,I,1,0,ERNITA
612,1299,NANGGROE ACEH DARUSSALAM,11044,ACEH TENGGARA 4,1,PARTAI KEADILAN SEJAHTERA,I,1,1,"H.SYAHBUDIN, BP.MM"
668,1301,NANGGROE ACEH DARUSSALAM,11044,ACEH TENGGARA 4,1,PARTAI SARIKAT INDONESIA,I,1,1,"MUHAMMAD SOPIAN, S.Ag."
824,1298,NANGGROE ACEH DARUSSALAM,11044,ACEH TENGGARA 4,1,PARTAI HATI NURANI RAKYAT,I,1,1,BUKHARI
1643,1297,NANGGROE ACEH DARUSSALAM,11044,ACEH TENGGARA 4,1,PARTAI PERSATUAN DAERAH,I,1,1,SAIDI
347,1362,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI ACEH,II,6,1,Drs. Sabirin
846,1369,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI GOLONGAN KARYA,I,1,0,CUT NURSULAILI
1169,1361,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI ACEH,I,6,1,"Ir. Lukmanulhakim, M.S"
1172,1367,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI DEMOKRAT,I,1,1,IR. MUHAMMAD ALI
1413,1366,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI ACEH,VI,6,1,Mohammad Gadeng
1862,1363,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI ACEH,III,6,1,Tgk. Jailani
1866,1364,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI ACEH,IV,6,1,Tgk. Muhammad Nurjadi
1867,1368,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI KEADILAN SEJAHTERA,I,1,1,TGK. SYUKURULLAH ISMAIL
2014,1365,NANGGROE ACEH DARUSSALAM,11091,PIDIE 1,1,PARTAI ACEH,V,6,1,Zulkifli Aly
9,1311,NANGGROE ACEH DARUSSALAM,11101,BIREUEN 1,1,PARTAI PERSATUAN PEMBANGUNAN,I,1,0,DRA. HJ. NURBAITI A. GANI
11,1310,NANGGROE ACEH DARUSSALAM,11101,BIREUEN 1,1,PARTAI AMANAT NASIONAL,I,1,0,"DRA. HJ. ROSNANI BAHRUNY, A.Pt"
145,1303,NANGGROE ACEH DARUSSALAM,11101,BIREUEN 1,1,PARTAI ACEH,I,6,1,ABDUL GANI ISA
624,1309,NANGGROE ACEH DARUSSALAM,11101,BIREUEN 1,1,PARTAI KEADILAN SEJAHTERA,I,1,1,"M. FAUZI, S.Si"
