"","province","district","year","title","X","unique.newdata...c..namaKab.....x","kab_code","health"
"1","Nangroe Aceh Darussalam","SIMEULUE",2002,"PENGAWASAN TERHADAP PENGIRIMAN HASIL BUMI DAN INDUSTRI YANG DIKIRIM KELUAR DAERAH",14,"SIMEULUE",1101,0
"2","Nangroe Aceh Darussalam","SIMEULUE",2003,"RETRIBUSI PEMBERIAN SURAT IZIN USAHA PERDAGANGAN",14,"SIMEULUE",1101,0
"3","Nangroe Aceh Darussalam","SIMEULUE",2003,"RETRIBUSI IZIN USAHA JASA KONSTRUKSI",14,"SIMEULUE",1101,0
"4","Nangroe Aceh Darussalam","SIMEULUE",2005,"RETRIBUSI TEMPAT PELELANGAN IKAN",14,"SIMEULUE",1101,0
"5","Nangroe Aceh Darussalam","SIMEULUE",2009,"RETRIBUSI PELAYANAN TRANSPORTASI DARAT",14,"SIMEULUE",1101,0
"6","Nangroe Aceh Darussalam","SIMEULUE",2009,"RETRIBUSI PELAYANAN JASA PELABUHAN",14,"SIMEULUE",1101,0
"7","Nangroe Aceh Darussalam","SIMEULUE",2008,"BANGUNAN GEDUNG",14,"SIMEULUE",1101,0
"8","Nangroe Aceh Darussalam","SIMEULUE",2005,"RETRIBUSI IZIN BONGKAR MUAT BARANG DAGANGAN DALAM KABUPATEN SIMEULUE",14,"SIMEULUE",1101,0
"9","Nangroe Aceh Darussalam","SIMEULUE",2002,"RETRIBUSI PEMERIKSAAN KESEHATAN TERNAK YANG DIPOTONG DAN DIKIRIM KELUAR DAERAH",14,"SIMEULUE",1101,1
"10","Nangroe Aceh Darussalam","SIMEULUE",2003,"RETRIBUSI IZIN MENDIRIKAN BANGUNAN",14,"SIMEULUE",1101,0
"11","Nangroe Aceh Darussalam","SIMEULUE",2002,"RETRIBUSI IZIN USAHA PERIKANAN DAN KELAUTAN",14,"SIMEULUE",1101,0
"12","Nangroe Aceh Darussalam","SIMEULUE",2002,"RETRIBUSI IZIN GANGGUAN",14,"SIMEULUE",1101,0
"13","Nangroe Aceh Darussalam","SIMEULUE",2008,"RETRIBUSI PELAYANAN RUMAH POTONG HEWAN",14,"SIMEULUE",1101,0
"14","Nangroe Aceh Darussalam","SIMEULUE",2002,"RETRIBUSI HASIL BUMI DAN INDUSTRI YANG DIKIRIM KELUAR DAERAH",14,"SIMEULUE",1101,0
"15","Nangroe Aceh Darussalam","SIMEULUE",2002,"PENERTIBAN PEMELIHARAAN HEWAN TERNAK DALAM KABUPATEN SIMEULUE",14,"SIMEULUE",1101,0
"16","Nangroe Aceh Darussalam","SIMEULUE",2003,"WAJIB DAFTAR PERUSAHAAN",14,"SIMEULUE",1101,0
"17","Nangroe Aceh Darussalam","ACEH SINGKIL",2003,"RETRIBUSI PENJUALAN PRODUKSI USAHA DAERAH KABUPATEN ACEH SIGKIL",22,"ACEH SINGKIL",1102,0
"18","Nangroe Aceh Darussalam","ACEH SINGKIL",2006,"RETRIBUSI PELAYANAN KESEHATAN",22,"ACEH SINGKIL",1102,1
"19","Nangroe Aceh Darussalam","ACEH SINGKIL",2003,"PENERTIBAN PEMELIHARAAN HEWAN/TERNAK DALAM KABUPATEN ACEH SINGKIL",22,"ACEH SINGKIL",1102,0
"20","Nangroe Aceh Darussalam","ACEH SINGKIL",2004,"RETRIBUSI TERMINAL PENUMPANG",22,"ACEH SINGKIL",1102,0
"21","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"RETRIBUSI PEMBUANGAN SAMPAH DALAM KABUPATEN ACEH SINGKIL",22,"ACEH SINGKIL",1102,0
"22","Nangroe Aceh Darussalam","ACEH SINGKIL",2003,"RETRIBUSI PEMERIKSAAN DAN MEMBAWA HEWAN KELUAR MASUK DAERAH KABUPATEN ACEH SINGKIL",22,"ACEH SINGKIL",1102,0
"23","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"RETRIBUSI UANG LEGES",22,"ACEH SINGKIL",1102,0
"24","Nangroe Aceh Darussalam","ACEH SINGKIL",2003,"PENGEMBANGAN KAWASAN INDUSTRI PERIKANAN",22,"ACEH SINGKIL",1102,0
"25","Nangroe Aceh Darussalam","ACEH SINGKIL",2006,"PEMBATALAN QONUN KABUPATEN ACEH SINGKIL NO 6 TAHUN 2004 TENTANG PAJAK HASIL BUMI",22,"ACEH SINGKIL",1102,0
"26","Nangroe Aceh Darussalam","ACEH SINGKIL",2000,"PENERIMAAN SUMBANGAN PIHAK KETIGA KEPADA PEMERINTAH KABUPATEN ACEH SINGKIL",22,"ACEH SINGKIL",1102,0
"27","Nangroe Aceh Darussalam","ACEH SINGKIL",2000,"PENDIRIAN PERUSAHAAN DAERAH AIR MINUM TIRTA SINGKIL",22,"ACEH SINGKIL",1102,0
"28","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"RETRIBUSI MENDIRIKAN IZIN BANGUNAN",22,"ACEH SINGKIL",1102,0
"29","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"SURAT IZIN TEMPAT USAHA",22,"ACEH SINGKIL",1102,0
"30","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"BAGI HASIL PAJAK DAERAH DAN RETRIBUSI KEPADA KAMPONG",22,"ACEH SINGKIL",1102,0
"31","Nangroe Aceh Darussalam","ACEH SINGKIL",2003,"PERUBAHAN TARIF AIR MINUM PERUSAHAAN DAERAH AIR MINUM TIRTA SINGKIL",22,"ACEH SINGKIL",1102,0
"32","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"PAJAK PENERANGAN LAMPU JALAN",22,"ACEH SINGKIL",1102,0
"33","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"IZIN UNDANG UNDANG GANGGUAN (HO)",22,"ACEH SINGKIL",1102,0
"34","Nangroe Aceh Darussalam","ACEH SINGKIL",2006,"PEDOMAN PERIZINAN USAHA PERKEBUNAN DI KABUPATEN ACEH SINGKIL",22,"ACEH SINGKIL",1102,0
"35","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"RETRIBUSI PENGGANTIAN BIAYA CETAK KARTU TANDA PENDUDUK (KTP) DAN AKTA CATATAN SIPIL (ACS)",22,"ACEH SINGKIL",1102,0
"36","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"PENDIRIAN PERUSAHAAN DAERAH SINGKIL PERSADA",22,"ACEH SINGKIL",1102,0
"37","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"PEMBENTUKAN SUSUNAN ORGANISASI DAN TATA KERJA KANTOR CATATAN SIPIL KABUPATEN ACEH SINGKIL",22,"ACEH SINGKIL",1102,0
"38","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"RENCANA UMUM TATA RUANG KOTA (RUTRK) SINGKIL",22,"ACEH SINGKIL",1102,0
"39","Nangroe Aceh Darussalam","ACEH SINGKIL",2001,"PAJAK REKLAME",22,"ACEH SINGKIL",1102,0
"40","Nangroe Aceh Darussalam","ACEH SINGKIL",2000,"PAJAK PEMANFAATAN AIR BAWAH TANAH DAN AIR PERMUKAAN",22,"ACEH SINGKIL",1102,0
"41","Nangroe Aceh Darussalam","ACEH SINGKIL",2001,"PENERIMAAN PAJAK DAERAH DARI TRANSAKSI PERALIHAN ATAS TANAH DAN BANGUNAN",22,"ACEH SINGKIL",1102,0
"42","Nangroe Aceh Darussalam","ACEH SINGKIL",2001,"PAJAK PENGAMBILAN DAN PENGOLAHAN BAHAN GALIAN GOLONGAN C",22,"ACEH SINGKIL",1102,0
"43","Nangroe Aceh Darussalam","ACEH SINGKIL",2001,"PAJAK HIBURAN",22,"ACEH SINGKIL",1102,0
"44","Nangroe Aceh Darussalam","ACEH SINGKIL",2001,"RETRIBUSI PASAR",22,"ACEH SINGKIL",1102,0
"45","Nangroe Aceh Darussalam","ACEH SINGKIL",2001,"PENGELOLAAN DAN PENGUSAHAAN SARANG BURUNG WALET",22,"ACEH SINGKIL",1102,0
"46","Nangroe Aceh Darussalam","ACEH SINGKIL",2002,"PENERBITAN TANDA DAFTAR PERUSAHAAN DAN SURAT IZIN USAHA PERDAGANGAN DAN SURAT IZIN USAHA INDUSTRI",22,"ACEH SINGKIL",1102,0
"47","Nangroe Aceh Darussalam","ACEH SELATAN",1992,"IZIN UNDANG",7,"ACEH SELATAN",1103,0
"48","Nangroe Aceh Darussalam","ACEH SELATAN",2003,"RETRIBUSI PENGUJIAN KAPAL PERIKANAN",7,"ACEH SELATAN",1103,0
"49","Nangroe Aceh Darussalam","ACEH SELATAN",2007,"PENETAPAN STRUKTUR DAN TARIF RETRIBUSI PEMAKAIAN KENDARAAN/ALAT",7,"ACEH SELATAN",1103,0
"50","Nangroe Aceh Darussalam","ACEH SELATAN",2007,"IZIN PEMANFAATAN DAN PENGELOLAAN SARANG BURUNG WALET DI HABITAT ALAMI DALAM KABUPATEN ACEH SELATAN",7,"ACEH SELATAN",1103,0
"51","Nangroe Aceh Darussalam","ACEH SELATAN",2002,"RETRIBUSI PELAYANAN PELABUHAN KAPAL",7,"ACEH SELATAN",1103,0
"52","Nangroe Aceh Darussalam","ACEH SELATAN",2007,"RETRIBUSI PELAYANAN PERSAMPAHAN/KEBERSIHAN",7,"ACEH SELATAN",1103,0
"53","Nangroe Aceh Darussalam","ACEH SELATAN",2002,"RETRIBUSI PEMAKAIAN KEKAYAAN DAERAH",7,"ACEH SELATAN",1103,0
"54","Nangroe Aceh Darussalam","ACEH SELATAN",2007,"PERUBAHAN ATAS PERATURAN DAERAH KABUPATEN ACEH SELATAN NO 8 TAHUN 1999 TENTANG RETRIBUSI IZN MENDIRIKAN BANGUNAN",7,"ACEH SELATAN",1103,0
"55","Nangroe Aceh Darussalam","ACEH SELATAN",1998,"PAJAK PEMANFAATAN AIR BAWAH TANAH DAN AIR PERMUKAAN",7,"ACEH SELATAN",1103,0
"56","Nangroe Aceh Darussalam","ACEH SELATAN",1999,"RETRIBUSI TERMINAL",7,"ACEH SELATAN",1103,0
"57","Nangroe Aceh Darussalam","ACEH SELATAN",2007,"PERUBAHAN ATAS PERATURAN DAERAH KABUPATEN ACEH SELATAN NO 5 TAHUN 2002 TENTANG RETRIBUSI PENGGANTIAN BIAYA CETAK KARTU TANDA PENDUDUK DAN AKTA CATATAN SIPIL",7,"ACEH SELATAN",1103,0
