"","dapil_code","dapil","woman_win","kab_code","win_margin","v744a_f2012","v744b_f2012","v744c_f2012","v744d_f2012","v744e_f2012","add_index_f2012","age","education","motorcycle","hiv_teacher","hiv_family","resp_num","v744a_f2007","v744b_f2007","v744c_f2007","v744d_f2007","v744e_f2007","add_index_f2007","v744a_m2012","v744b_m2012","v744c_m2012","v744d_m2012","v744e_m2012","add_index_m2012","v744a_m2007","v744b_m2007","v744c_m2007","v744d_m2007","v744e_m2007","add_index_m2007","num_vil","pop","schools","pre_male_doc","pre_fem_doc","mosques","pubs","dist_to_cap","polindes","some_gambling","civil_def","perc_some_gambling","total_rupiah","health_communication","prop_female_doc_pusk","pub_health"
"1","11011","SIMEULEU 1","1","1101","0.011841469","0.407407407407407","0.592592592592593","0.269230769230769","0.0833333333333333","0.0740740740740741","1.40740740740741","28.4444444444444","0.740740740740741","0.777777777777778","0.222222222222222","0.944444444444444","27","0.15","0.15","0.2","0.6","0.45","1.55","0","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","1.33333333333333","0.4","0.2","0","0","0","0.6","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152",NA,NA,NA,NA
"2","11043","ACEH TENGGARA 3","0","1104","-0.001694226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54","30743","31","3","2","27","0","18.9052631578947","17","1","148","0.0185185185185185",NA,NA,NA,NA
"3","11044","ACEH TENGGARA 4","1","1104","0.007473642","0.428571428571429","0.392857142857143","0.0714285714285714","0.296296296296296","0.0714285714285714","1.25","27.8214285714286","0.75","0.714285714285714","0.411764705882353","0.666666666666667","28","0","0","0","0","0","0","0.6","0.6","0","0","0","1.2","0","0.8","0","0.6","0","1.4","113","48635","39","16","1","54","0","26.9975500345066","29","1","290","0.00884955752212389",NA,NA,NA,NA
"4","11051","ACEH TIMUR 1","0","1105","-0.025188663",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.769230769230769","0.769230769230769","0.692307692307692","0.692307692307692","0.692307692307692","2.9375",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","49","47636","27","1","1","23","0","43.9724080267559","17","0","15","0",NA,NA,NA,NA
"5","11071","ACEH BARAT 1","0","1107","-0.011108119","0.32","0.304347826086957","0.125","0.125","0","0.84","29.48","0.84","1","0.7","0.652173913043478","25","0.297297297297297","0.378378378378378","0.0294117647058824","0.0606060606060606","0.0277777777777778","0.783783783783784","0.333333333333333","0.166666666666667","0","0","0","0.5","0","0","0","0","0","0","21","66350","27","14","7","32","0","2.42857142857143","1","0","0","0",NA,NA,NA,NA
"6","11091","PIDIE 1","1","1109","0.000271592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"114","76129","49","12","20","22","0","8.87890625","62","0","79","0",NA,NA,NA,NA
"7","11101","BIREUEN 1","1","1110","0.000662555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","67234","28","45","12","11","0","3.4","16","0","118","0",NA,NA,NA,NA
"8","11142","ACEH TAMIANG 2","0","1114","-0.005555414","0.72","0.72","0.04","0.16","0.04","1.68","30.2","0.56","0.6","0.416666666666667","0.785714285714286","25","0.631578947368421","0.526315789473684","0.216216216216216","0.285714285714286","0.0810810810810811","1.71052631578947","0.285714285714286","0.285714285714286","0","0.142857142857143","0","0.714285714285714","0.1","0.2","0.2","0","0.1","0.6","103","84592","64","2","6","76","0","23.2942550505051","86","0","305","0",NA,NA,NA,NA
"9","11143","ACEH TAMIANG 3","1","1114","0.011967699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.19047619047619","0.285714285714286","0.05","0","0","0.523809523809524",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","44","80623","46","2","5","115","1","26.75","34","0","303","0",NA,NA,NA,NA
"10","11152","NAGAN RAYA 2","0","1115","-0.000819248","0.5","0.481481481481481","0.12","0.259259259259259","0.037037037037037","1.31034482758621","31.7241379310345","0.551724137931034","0.931034482758621","0.625","0.714285714285714","29",NA,NA,NA,NA,NA,NA,"0.142857142857143","0","0","0","0","0.142857142857143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","11182","PIDIE JAYA 2","1","1118","0.001820057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.0555555555555556","0.166666666666667","0.222222222222222",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","63","32465","22","1","2","15","0","17.3055555555556","18","0","2","0",NA,NA,NA,NA
"12","11713","KOTA BANDA ACEH 3","0","1171","-0.006249327","0.260869565217391","0.304347826086957","0","0","0.0434782608695652","0.608695652173913","31.5652173913043","0.826086956521739","0.869565217391304","0.6","0.85","23",NA,NA,NA,NA,NA,NA,"0","0.333333333333333","0","0","0","0.333333333333333",NA,NA,NA,NA,NA,NA,"19","53842","20","26","25","23","0","4.41111111111111","9","0","245","0",NA,NA,NA,NA
