"","v024","sregmun","ssubd","v744a","v744b","v744c","v744d","v744e","v714","v384b","v531","v743f","v012","v106","v124","v812","v394","v116","v157","v158","v159","v613","v778","v779","prov_id","kec_2012_use","kec_2009_use","dapil_code","newp","radio","tv","add_index","all_index","any_index","dapil","woman_win","kab_code","win_margin","num_vil","pop","schools","pre_male_doc","pre_fem_doc","mosques","pubs","dist_to_cap","polindes","some_gambling","civil_def","perc_some_gambling"
"1","aceh","01","021","1","1","1","0","0","1","0","18","1","42","0","0","0","1","1","not at all","not at all","at least once a week","4","0","0","11","1101021","1101021","11011","0","0","1","3","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"2","aceh","01","021","0","0","0","0","0","1","1","17","1","40","1","1","0","1","1","less than once a week","not at all","at least once a week","3","1","0","11","1101021","1101021","11011","1","0","1","0","0","0","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"3","aceh","01","021","0","0","0","0","0","0","0","16","1","44","1","1","0","1","1","less than once a week","less than once a week","at least once a week","4","1","0","11","1101021","1101021","11011","1","1","1","0","0","0","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"4","aceh","01","021","0","1","0","0","0","0","1","0",NA,"24","1","1","0","1","1","at least once a week","at least once a week","at least once a week","4","1","0","11","1101021","1101021","11011","1","1","1","1","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"5","aceh","01","021","0","1","0","0","0","0","1","0",NA,"16","1","1","0","0","1","less than once a week","at least once a week","at least once a week","3","1","0","11","1101021","1101021","11011","1","1","1","1","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"6","aceh","01","021","1","1","0","1","0","0","0","17","0","40","0","1","0","1","1","not at all","not at all","at least once a week","4",NA,NA,"11","1101021","1101021","11011","0","0","1","3","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"7","aceh","01","021","1","1","1",NA,"0","0","1","0",NA,"18","1","1","0","0","1","less than once a week","not at all","at least once a week","4","1","0","11","1101021","1101021","11011","1","0","1","3","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"8","aceh","01","021","0","0","1","0","0","0","1","0",NA,"18","1","1","0","1","1","less than once a week","less than once a week","at least once a week","4","1","0","11","1101021","1101021","11011","1","1","1","1","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"9","aceh","01","021","1","1","0","0","0","0","0","0",NA,"15","1","1","0","1","1","less than once a week","not at all","at least once a week","4","1",NA,"11","1101021","1101021","11011","1","0","1","2","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
"10","aceh","01","021","1","1","0","0","0","0","0","97","1","42","0","1","0","0","1","not at all","less than once a week","at least once a week",NA,NA,NA,"11","1101021","1101021","11011","0","1","1","2","0","1","SIMEULEU 1","1","1101","0.011841469","66","47779","51","10","3","77","0","26.328628083619","0","1","545","0.0151515151515152"
